Dog,Cat,Rabbit,Parrot,
Finnish Spitz,,,,
Flat-Coated Retriever,,,,
Formosan Mountain Dog          ,,,,
Fox Terrier,,,,
French Bulldog,,,,
French Bullhuahua,,,,
French Mastiff         ,,,,
"French Pointer, Gascogne Type           ",,,,
"French Pointer, Pyrenees Type             ",,,,
French Saint Hubert Hound          ,,,,
French Spaniel,,,,
French Tricolor Hound                 ,,,,
French White and Black Hound        ,,,,
French White and Orange Hound         ,,,,
Frenchton,,,,
Frengle,,,,
Gascon Saintongeois              ,,,,
German Hound        ,,,,
German Hunting Terrier               ,,,,
German Longhaired Pointer,,,,
German Oysel Dog        ,,,,
German Pinscher,,,,
German Roughhaired Pointer    ,,,,
German Shepherd            ,,,,
German Shepherd Pit Bull,,,,
German Shepherd Rottweiler Mix,,,,
German Sheprador,,,,
German Shorthaired Pointer,,,,
German Spitz,,,,
German Wirehaired Pointer,,,,
Giant Schnauzer,,,,
Glen of Imaal Terrier,,,,
Goberian,,,,
Goldador,,,,
Golden Cocker Retriever,,,,
Golden Mountain Dog,,,,
Golden Retriever,,,,
Golden Retriever Corgi,,,,
Golden Shepherd,,,,
Goldendoodle,,,,
Gollie,,,,
Gordon Setter,,,,
Grand Anglo-Français Tricolor            ,,,,
Grand Anglo-Français White and Black       ,,,,
Grand Anglo-Français White and Orange          ,,,,
Grand Basset Griffon Vendéen                ,,,,
Grand Bleu de Gascogne         ,,,,
Grand Griffon Vendéen          ,,,,
Great Dane,,,,
Great Pyrenees,,,,
Great Swiss Mountain Dog,,,,
Greek Hound             ,,,,
Greenland Dog               ,,,,
Greyador,,,,
Greyhound,,,,
Halden Hound               ,,,,
Hamilton Hound           ,,,,
Hamiltonstovare,,,,
Hanoverian Hound        ,,,,
Hanoverian Scenthound,,,,
Harrier,,,,
Havanese,,,,
Havapoo,,,,
Hokkaido,,,,
Horgi,,,,
Hovawart,,,,
Hungarian Short-Haired Pointer               ,,,,
Hungarian Vizsla       ,,,,
Hungarian Wire-Haired Pointer               ,,,,
Huskita,,,,
Huskydoodle,,,,
Hygen Hound             ,,,,
Ibizan Hound,,,,
Icelandic Sheepdog,,,,
Irish Red And White Setter,,,,
Irish Setter,,,,
Irish Terrier,,,,
Irish Water Spaniel,,,,
Irish Wolfhound,,,,
Istrian Coarse-Haired Hound          ,,,,
Istrian Short-Haired Hound              ,,,,
Italian Coarse-Haired Hound             ,,,,
Italian Greyhound,,,,
Italian Pointer             ,,,,
Italian Short-Haired Hound          ,,,,
Italian Volpino              ,,,,
Jack Chi,,,,
Jack Russell Terrier,,,,
Jack-A-Poo,,,,
Jackshund,,,,
Japanese Chin,,,,
Japanese Spaniel               ,,,,
Japanese Spitz,,,,
Japanese Terrier               ,,,,
Jura Hound                ,,,,
Kai                 ,,,,
Kai Ken,,,,
Karelian Bear Dog,,,,
Karst Shepherd          ,,,,
Keeshond,,,,
Kerry Blue Terrier,,,,
King Charles Spaniel               ,,,,
King Shepherd,,,,
Kishu              ,,,,
Kishu Ken,,,,
Komondor,,,,
Kooikerhondje,,,,
Korean Jindo Dog,,,,
Kromfohrländer    ,,,,
Kuvasz,,,,
Kyi-Leo,,,,
Lab Pointer,,,,
Labernese,,,,
Labmaraner,,,,
Labrabull,,,,
Labradane,,,,
Labradoodle,,,,
Labrador Retriever,,,,
Labrastaff,,,,
Labsky,,,,
Lagotto Romagnolo,,,,
Lakeland Terrier,,,,
Lancashire Heeler,,,,
Landseer               ,,,,
Large Brittany Hound                   ,,,,
Large Munsterlander        ,,,,
Leonberger,,,,
Levesque             ,,,,
Lhasa Apso,,,,
Lhasapoo,,,,
Lion Dog              ,,,,
Longhaired Dachshund             ,,,,
Long-Haired Dutch Shepherd        ,,,,
Long-Haired Pyrenean Shepherd      ,,,,
Long-Haired Weimaraner           ,,,,
Lowchen,,,,
Lucerne Hound              ,,,,
Majorca Mastiff                  ,,,,
Majorca Shepherd Dog     ,,,,
Maltese,,,,
Maltese Shih Tzu,,,,
Maltipoo,,,,
Manchester Terrier,,,,
Maremma and Abruzzes Sheepdog     ,,,,
Maremma Sheepdog,,,,
Mastador,,,,
Mastiff,,,,
Mexican Hairless Dog         ,,,,
Miniature Bull Terrier                   ,,,,
Miniature Pinscher,,,,
Miniature Schnauzer,,,,
Montenegrin Mountain Hound                   ,,,,
Morkie,,,,
Mountain Cur,,,,
Mountain Feist,,,,
Mudi,,,,
Mutt (Mixed),,,,
Neapolitan Mastiff,,,,
Newfoundland,,,,
Nivernais Griffon                  ,,,,
